t,pos_err,ori_err,e_xi_norm,e_z_O_norm,e_z_T_norm,qddot_ref_norm,tau_norm,sigma_min,c0,c1,c2,runtime,q1,q2,q3,q4,q5,q6,tau1,tau2,tau3,tau4,tau5,tau6,px,py,pz,pd_x,pd_y,pd_z,cube_x,cube_y,cube_z,cube_yaw,gripper_width,tau_sat,governed
2.000000000e-01,8.057965336e-04,5.552884198e-03,1.138500119e-02,2.776438532e-03,1.896077993e-03,4.093208561e-01,5.866767751e+00,1.361773110e-01,1.110908909e-16,2.168404345e-18,3.833233542e-20,1.214177800e-02,-2.752017975e-01,-2.492682457e+00,-1.488497257e+00,-8.562818766e-01,-6.882947683e-01,4.372467473e-02,-3.411346979e-03,5.374951903e+00,-2.266777554e+00,-6.246086639e-01,-2.068285754e-02,6.564311849e-05,6.315080773e-01,-5.728436657e-02,8.915202520e-02,6.314250302e-01,-5.728071793e-02,8.835052790e-02,4.846000075e-01,-1.231999621e-01,2.249992453e-02,1.977458018e+00,6.999954954e-02,0,0
2.100000000e-01,8.382416237e-04,5.817201452e-03,1.090595838e-02,2.908596625e-03,1.984798739e-03,4.559826844e-01,5.865313841e+00,1.361831204e-01,3.496446946e-18,5.438330430e-18,5.463198354e-20,1.241284100e-02,-2.751500905e-01,-2.492753506e+00,-1.488424659e+00,-8.563656807e-01,-6.880741715e-01,4.349530861e-02,-3.676396205e-03,5.373638311e+00,-2.266157912e+00,-6.245033965e-01,-2.068956063e-02,9.606717561e-05,6.315116149e-01,-5.728434259e-02,8.909504628e-02,6.314250513e-01,-5.728070454e-02,8.826129420e-02,4.846000075e-01,-1.231999770e-01,2.249992266e-02,1.977458018e+00,6.999956071e-02,0,0
2.200000000e-01,8.713739622e-04,6.083270538e-03,1.204589484e-02,3.041630579e-03,2.071657090e-03,4.537981081e-01,5.866844008e+00,1.361885444e-01,3.402759148e-16,3.878959614e-18,2.252534387e-19,1.147683200e-02,-2.751000226e-01,-2.492837906e+00,-1.488357067e+00,-8.564605117e-01,-6.878570914e-01,4.326323047e-02,-2.657612372e-03,5.375122990e+00,-2.266540018e+00,-6.247172291e-01,-2.071503077e-02,8.118547862e-05,6.315155204e-01,-5.728497163e-02,8.903443625e-02,6.314250734e-01,-5.728069050e-02,8.816777968e-02,4.845999479e-01,-1.231999993e-01,2.249994874e-02,1.977458018e+00,6.999955699e-02,0,0
2.300000000e-01,9.020370803e-04,6.341527491e-03,1.103401036e-02,3.170758433e-03,2.156011053e-03,5.375996822e-01,5.862328737e+00,1.361933407e-01,4.465794925e-16,5.438330430e-18,1.694065895e-19,1.191973600e-02,-2.750519216e-01,-2.492944241e+00,-1.488297582e+00,-8.565697670e-01,-6.876462698e-01,4.303793982e-02,-1.004291545e-02,5.371068324e+00,-2.264569966e+00,-6.242799747e-01,-2.048881616e-02,1.225730931e-04,6.315198954e-01,-5.728609069e-02,8.896702011e-02,6.314250966e-01,-5.728067582e-02,8.806999460e-02,4.846000075e-01,-1.231999695e-01,2.249994315e-02,1.977458018e+00,6.999955326e-02,0,0
2.400000000e-01,9.322404596e-04,6.597046639e-03,1.297622776e-02,3.298517338e-03,2.238418958e-03,5.080327765e-01,5.869190527e+00,1.361979057e-01,3.350781848e-16,2.818925648e-18,1.212174880e-19,1.297198600e-02,-2.750058770e-01,-2.493064880e+00,-1.488241076e+00,-8.566913009e-01,-6.874399185e-01,4.281447083e-02,-9.327386755e-03,5.377532567e+00,-2.266770573e+00,-6.251271642e-01,-2.052118006e-02,9.124485477e-05,6.315241268e-01,-5.728784755e-02,8.889489003e-02,6.314251207e-01,-5.728066050e-02,8.796794968e-02,4.846000075e-01,-1.231999695e-01,2.249993570e-02,1.977458018e+00,6.999954954e-02,0,0
2.500000000e-01,9.590998562e-04,6.842924847e-03,1.357351896e-02,3.421455748e-03,2.317972215e-03,4.942117576e-01,5.867280643e+00,1.362021687e-01,3.333931376e-16,9.697399036e-19,1.761828530e-19,1.369198400e-02,-2.749612331e-01,-2.493204594e+00,-1.488188386e+00,-8.568235040e-01,-6.872405410e-01,4.259660095e-02,-2.883573452e-03,5.375816838e+00,-2.265987202e+00,-6.248520269e-01,-2.071472455e-02,7.555841868e-05,6.315279490e-01,-5.728937350e-02,8.881519051e-02,6.314251459e-01,-5.728064454e-02,8.786165611e-02,4.846000075e-01,-1.231999770e-01,2.249993384e-02,1.977458018e+00,6.999953836e-02,0,0
2.600000000e-01,9.841602580e-04,7.091090863e-03,8.340723426e-03,3.545538003e-03,2.395530832e-03,7.225878289e-01,5.847483620e+00,1.362063073e-01,2.232407816e-16,4.594766429e-18,1.287490080e-19,1.335375000e-02,-2.749189138e-01,-2.493358135e+00,-1.488137245e+00,-8.569633961e-01,-6.870445609e-01,4.237225652e-02,3.810680551e-05,5.357218986e+00,-2.259435942e+00,-6.227228967e-01,-2.085159535e-02,2.258340408e-04,6.315312645e-01,-5.729176598e-02,8.872948731e-02,6.314251720e-01,-5.728062794e-02,8.775112555e-02,4.846000075e-01,-1.231999695e-01,2.249992825e-02,1.977458018e+00,6.999955326e-02,0,0
2.700000000e-01,1.010067193e-03,7.336610689e-03,1.495691668e-02,3.668297117e-03,2.472481076e-03,5.097120434e-01,5.869404416e+00,1.362098994e-01,3.361698173e-16,5.222209201e-18,3.565113276e-19,1.134121000e-02,-2.748768330e-01,-2.493527174e+00,-1.488093257e+00,-8.571171761e-01,-6.868504882e-01,4.215279222e-02,-2.472657266e-03,5.378025264e+00,-2.266161778e+00,-6.251613828e-01,-2.074544736e-02,5.998756373e-05,6.315355612e-01,-5.729431267e-02,8.864029651e-02,6.314251992e-01,-5.728061071e-02,8.763637011e-02,4.846000075e-01,-1.231999770e-01,2.249995247e-02,1.977458018e+00,6.999956816e-02,0,0
2.800000000e-01,1.033241713e-03,7.577834342e-03,1.416726966e-02,3.788908105e-03,2.546894946e-03,5.634225441e-01,5.866952692e+00,1.362131549e-01,5.632537870e-16,4.735866575e-18,8.571370773e-20,1.309046800e-02,-2.748360336e-01,-2.493714333e+00,-1.488053560e+00,-8.572810888e-01,-6.866618991e-01,4.193351790e-02,-3.332958404e-03,5.375843024e+00,-2.265056261e+00,-6.249198724e-01,-2.073259177e-02,9.421070656e-05,6.315396813e-01,-5.729683550e-02,8.854415694e-02,6.314252273e-01,-5.728059285e-02,8.751740239e-02,4.846000075e-01,-1.231999695e-01,2.249991708e-02,1.977458018e+00,6.999956071e-02,0,0
2.900000000e-01,1.056780130e-03,7.817843267e-03,9.872963975e-03,3.908911679e-03,2.618486196e-03,7.550356242e-01,5.848783499e+00,1.362161325e-01,9.298587101e-17,5.691803256e-18,1.221608289e-19,1.386508500e-02,-2.747975588e-01,-2.493914604e+00,-1.488017440e+00,-8.574568033e-01,-6.864792705e-01,4.171362519e-02,1.272997602e-04,5.358809651e+00,-2.258966452e+00,-6.229466899e-01,-2.086808856e-02,2.123158726e-04,6.315436876e-01,-5.729995725e-02,8.844417953e-02,6.314252565e-01,-5.728057436e-02,8.739423543e-02,4.846000075e-01,-1.231999919e-01,2.249993198e-02,1.977458018e+00,6.999955699e-02,0,0
3.000000000e-01,1.076153778e-03,8.052565678e-03,1.540451394e-02,4.026271961e-03,2.689705246e-03,5.838335854e-01,5.868195821e+00,1.362189491e-01,4.447198017e-16,1.084202172e-18,1.459651846e-19,1.226778000e-02,-2.747602463e-01,-2.494132996e+00,-1.487983346e+00,-8.576406240e-01,-6.862980127e-01,4.149658233e-02,-2.801762540e-03,5.377281882e+00,-2.264809744e+00,-6.251080807e-01,-2.075116516e-02,8.642028541e-05,6.315472861e-01,-5.730351837e-02,8.833585223e-02,6.314252866e-01,-5.728055524e-02,8.726688273e-02,4.846000075e-01,-1.231999695e-01,2.249995247e-02,1.977458018e+00,6.999956444e-02,0,0
