t,pos_err,ori_err,e_xi_norm,e_z_O_norm,e_z_T_norm,qddot_ref_norm,tau_norm,sigma_min,c0,c1,c2,runtime,q1,q2,q3,q4,q5,q6,tau1,tau2,tau3,tau4,tau5,tau6,px,py,pz,pd_x,pd_y,pd_z,cube_x,cube_y,cube_z,cube_yaw,gripper_width,tau_sat,governed,dither_on,meas1,meas2,meas3,meas4,meas5,meas6
2.000000000e-01,3.238792932e-04,2.636606170e-03,9.660545426e-03,1.318302703e-03,8.202096020e-04,5.060124486e-01,3.052483884e+00,4.715933370e-02,6.663773690e-16,4.369372356e-19,1.447410535e-20,1.879733600e-02,-7.517767517e-05,-4.745111614e-02,-4.358414188e-02,-1.281360397e-03,-4.178275703e-04,-3.864930768e-04,2.620291919e-04,-1.096498719e+00,-2.769333468e+00,-6.679374638e-01,9.756668135e-05,1.745464475e-04,2.608066490e-01,5.701724552e-05,2.026071930e-01,2.605212369e-01,-2.549404298e-17,2.024651127e-01,3.874000013e-01,-9.950000793e-02,8.250000328e-02,1.319469363e+00,1.400000080e-01,0,0,0,2.620670712e-04,-1.096486449e+00,-2.769344807e+00,-6.679391861e-01,9.755557403e-05,1.738652791e-04
2.100000000e-01,3.450383268e-04,2.659644769e-03,8.863594948e-03,1.329821992e-03,8.534332477e-04,4.788847242e-01,3.055517519e+00,4.720175728e-02,1.136511982e-16,8.371517920e-19,4.750186143e-20,1.807551201e-02,-7.847467350e-05,-4.776649550e-02,-4.382258654e-02,-1.342561096e-03,-4.462881479e-04,-4.147036525e-04,-2.503025468e-04,-1.096002298e+00,-2.772673731e+00,-6.687649631e-01,3.031267849e-05,1.254558067e-04,2.608146412e-01,6.137618816e-05,2.026675607e-01,2.605212710e-01,-2.549404298e-17,2.024966270e-01,3.874000013e-01,-9.949998558e-02,8.250000328e-02,1.319469106e+00,1.400000080e-01,0,0,0,-2.503796422e-04,-1.095991373e+00,-2.772682190e+00,-6.687657833e-01,3.027977073e-05,1.246291504e-04
2.200000000e-01,3.621520091e-04,2.674111884e-03,7.593223983e-03,1.337055544e-03,8.766106207e-04,4.437497389e-01,3.059969738e+00,4.723951060e-02,2.220906033e-16,1.126753970e-18,1.534626421e-20,1.821249000e-02,-8.173761307e-05,-4.804068431e-02,-4.403478280e-02,-1.397591666e-03,-4.726914340e-04,-4.420278710e-04,-2.034693287e-04,-1.095705821e+00,-2.777405686e+00,-6.699710001e-01,7.024216145e-05,1.454850966e-04,2.608213715e-01,6.536675601e-05,2.027229890e-01,2.605213083e-01,-2.549404298e-17,2.025310427e-01,3.874000013e-01,-9.950000793e-02,8.250000328e-02,1.319469363e+00,1.400000080e-01,0,0,0,-2.033609780e-04,-1.095699787e+00,-2.777412891e+00,-6.699713469e-01,7.037282921e-05,1.448368566e-04
2.300000000e-01,3.753104880e-04,2.679334630e-03,9.890406124e-03,1.339666914e-03,8.910603076e-04,2.885541678e-01,3.066621783e+00,4.727355533e-02,5.029342835e-17,2.884929318e-19,7.576092997e-21,1.840535901e-02,-8.388442075e-05,-4.828358069e-02,-4.422613606e-02,-1.450441312e-03,-4.937248887e-04,-4.637856619e-04,4.026296801e-04,-1.100063726e+00,-2.782728570e+00,-6.711560361e-01,1.615621252e-04,2.282542248e-04,2.608271943e-01,6.866373080e-05,2.027748657e-01,2.605213488e-01,-2.549404298e-17,2.025684637e-01,3.874000013e-01,-9.949998558e-02,8.250000328e-02,1.319469106e+00,1.400000080e-01,0,0,0,4.025025992e-04,-1.100058675e+00,-2.782735109e+00,-6.711559296e-01,1.616266090e-04,2.277386084e-04
2.400000000e-01,3.847414722e-04,2.678211618e-03,1.084703927e-02,1.339105409e-03,8.981530536e-04,2.299624146e-01,3.070451860e+00,4.730482540e-02,5.556288354e-16,2.777874422e-19,1.824564807e-20,1.879657499e-02,-8.520475967e-05,-4.850319773e-02,-4.440189525e-02,-1.501381630e-03,-5.111308419e-04,-4.822488700e-04,4.641447069e-04,-1.101693558e+00,-2.786121311e+00,-6.719178988e-01,1.876075657e-04,2.368228401e-04,2.608323452e-01,7.151108675e-05,2.028239807e-01,2.605213927e-01,-2.549404298e-17,2.026089907e-01,3.874000013e-01,-9.950000793e-02,8.250000328e-02,1.319469363e+00,1.400000080e-01,0,0,0,4.640690167e-04,-1.101686239e+00,-2.786126852e+00,-6.719174385e-01,1.875951421e-04,2.363443200e-04
2.500000000e-01,3.906306533e-04,2.671997149e-03,1.330398727e-02,1.335998177e-03,8.988222526e-04,2.000036086e+01,3.099580909e+00,4.733401586e-02,1.130118132e-16,6.539595111e-19,6.872068662e-20,1.820040100e-02,-8.689356764e-05,-4.870116338e-02,-4.456596449e-02,-1.547498046e-03,-5.272995913e-04,-5.002108519e-04,-5.037829962e-04,-1.899198602e+00,-2.400027635e+00,-4.902178736e-01,1.018795094e-04,8.655370128e-05,2.608367185e-01,7.403544947e-05,2.028711492e-01,2.605214400e-01,-2.549404298e-17,2.026527218e-01,3.874000013e-01,-9.949998558e-02,8.250000328e-02,1.319469106e+00,1.400000080e-01,0,1,0,-5.037677474e-04,-1.899205446e+00,-2.400100946e+00,-4.902416766e-01,1.018714393e-04,8.624105249e-05
2.600000000e-01,3.744993577e-04,3.011002557e-03,2.420396604e-02,1.505500710e-03,9.002769511e-04,7.952704188e-01,3.074685249e+00,4.736094534e-02,1.110352789e-16,4.573546535e-18,1.628507580e-19,1.805218300e-02,-8.952486678e-05,-4.925906658e-02,-4.471753165e-02,-1.610220294e-03,-5.437118816e-04,-5.178867723e-04,-2.508145981e-04,-1.076056533e+00,-2.799416874e+00,-6.775373115e-01,-8.991256475e-05,8.144153349e-05,2.608643357e-01,7.635646263e-05,2.028296632e-01,2.605214909e-01,-2.549404298e-17,2.026997519e-01,3.874000013e-01,-9.950000793e-02,8.250000328e-02,1.319469363e+00,1.400000080e-01,0,0,0,-2.508768230e-04,-1.076038241e+00,-2.799460411e+00,-6.775572300e-01,-8.984981832e-05,8.091462951e-05
2.700000000e-01,3.777024477e-04,3.297370345e-03,1.796561858e-02,1.648684425e-03,8.966243422e-04,5.721921428e-01,3.080029471e+00,4.738751741e-02,3.334532267e-16,8.273902165e-19,2.925637576e-20,1.793398301e-02,-9.280101222e-05,-4.974358156e-02,-4.486705363e-02,-1.657341840e-03,-5.627628416e-04,-5.382976960e-04,2.962712234e-04,-1.082774989e+00,-2.802597388e+00,-6.779584220e-01,6.475853588e-05,1.810836018e-04,2.608874189e-01,7.899339892e-05,2.028007286e-01,2.605215455e-01,-2.549404298e-17,2.027501731e-01,3.874000013e-01,-9.949998558e-02,8.250000328e-02,1.319469106e+00,1.400000080e-01,0,0,0,2.961841237e-04,-1.082758546e+00,-2.802633047e+00,-6.779747009e-01,6.474216934e-05,1.805812062e-04
2.800000000e-01,3.944137513e-04,3.535313576e-03,1.437538409e-02,1.767655867e-03,8.884936060e-04,6.060584827e-01,3.079167433e+00,4.741411441e-02,3.440987310e-17,1.291655050e-18,5.705381547e-20,2.073484800e-02,-9.515052079e-05,-5.017162859e-02,-4.501668736e-02,-1.697665895e-03,-5.801071529e-04,-5.584000028e-04,-2.447921668e-04,-1.082097463e+00,-2.801999943e+00,-6.775938360e-01,-5.822654344e-05,9.887639283e-05,2.609069528e-01,8.155936620e-05,2.027836665e-01,2.605216039e-01,-2.549404298e-17,2.028040749e-01,3.874000013e-01,-9.950000793e-02,8.250000328e-02,1.319469363e+00,1.400000080e-01,0,0,0,-2.448556479e-04,-1.082084417e+00,-2.802029133e+00,-6.776074171e-01,-5.829559814e-05,9.842230065e-05
2.900000000e-01,4.184773513e-04,3.729221397e-03,9.022083688e-03,1.864609618e-03,8.763740880e-04,4.087294342e-01,3.083736321e+00,4.744110820e-02,2.248605376e-16,1.486093108e-18,2.174856062e-20,1.855641800e-02,-9.777549712e-05,-5.054535344e-02,-4.516852275e-02,-1.727139461e-03,-5.986762699e-04,-5.808800925e-04,2.668522277e-04,-1.088411025e+00,-2.804508352e+00,-6.778819434e-01,7.171567187e-05,1.861248086e-04,2.609229562e-01,8.427831860e-05,2.027779569e-01,2.605216661e-01,-2.549404298e-17,2.028615435e-01,3.874000013e-01,-9.949998558e-02,8.250000328e-02,1.319469106e+00,1.400000080e-01,0,0,0,2.667334047e-04,-1.088398576e+00,-2.804532051e+00,-6.778923273e-01,7.164373528e-05,1.855709997e-04
