t,pos_err,ori_err,e_xi_norm,e_z_O_norm,e_z_T_norm,qddot_ref_norm,tau_norm,sigma_min,c0,c1,c2,runtime,q1,q2,q3,q4,q5,q6,tau1,tau2,tau3,tau4,tau5,tau6,px,py,pz,pd_x,pd_y,pd_z,cube_x,cube_y,cube_z,cube_yaw,gripper_width,tau_sat,governed
2.000000000e-01,6.151821269e-03,7.835800366e-03,2.457941541e-02,3.917890160e-03,1.540982828e-03,4.633684928e-01,5.820372519e+00,1.364745659e-01,6.774467207e-16,1.305552300e-18,3.946555479e-19,1.179990000e-02,-2.764114141e-01,-2.481522560e+00,-1.484631538e+00,-8.564906716e-01,-6.926193833e-01,4.673343152e-02,-2.222099412e-02,5.326261685e+00,-2.263408861e+00,-6.195273060e-01,-1.857910403e-02,1.328949656e-04,6.308729524e-01,-5.725232456e-02,9.447746097e-02,6.314250302e-01,-5.728071793e-02,8.835052790e-02,4.846000075e-01,-1.231999621e-01,2.249991708e-02,1.977458018e+00,6.999958307e-02,0,0
2.100000000e-01,6.429683773e-03,8.188562104e-03,2.578573812e-02,4.094269613e-03,1.615526953e-03,4.636668989e-01,5.819059559e+00,1.364942553e-01,2.223493277e-16,5.080733800e-18,3.388131789e-19,1.242178600e-02,-2.764154375e-01,-2.481081247e+00,-1.484378219e+00,-8.565905094e-01,-6.925954819e-01,4.664336517e-02,-1.484942889e-02,5.324885733e+00,-2.263357249e+00,-6.194231514e-01,-1.882767752e-02,1.212531263e-04,6.308464431e-01,-5.725091500e-02,9.466482124e-02,6.314250513e-01,-5.728070454e-02,8.826129420e-02,4.846000075e-01,-1.231999621e-01,2.249993756e-02,1.977458018e+00,6.999958679e-02,0,0
2.200000000e-01,6.696799237e-03,8.526039662e-03,2.720715256e-02,4.263006919e-03,1.688442534e-03,4.564018767e-01,5.819973379e+00,1.365131949e-01,4.462287433e-16,1.742330095e-18,5.503394101e-19,1.318176300e-02,-2.764298916e-01,-2.480676174e+00,-1.484134555e+00,-8.567041755e-01,-6.925722957e-01,4.655744135e-02,-6.496938744e-03,5.325603078e+00,-2.264007526e+00,-6.195980157e-01,-1.918317301e-02,1.066018076e-04,6.308200075e-01,-5.725617150e-02,9.483714352e-02,6.314250734e-01,-5.728069050e-02,8.816777968e-02,4.846000075e-01,-1.231999919e-01,2.249995805e-02,1.977458018e+00,6.999958307e-02,0,0
2.300000000e-01,6.953810691e-03,8.850227176e-03,3.340654667e-02,4.425099146e-03,1.758970493e-03,8.060449536e-01,5.796264308e+00,1.365310734e-01,1.411962612e-17,4.527761199e-18,3.428548309e-19,1.263913800e-02,-2.764531374e-01,-2.480308294e+00,-1.483904600e+00,-8.568301201e-01,-6.925506592e-01,4.647493735e-02,1.090408352e-01,5.302364687e+00,-2.255807524e+00,-6.168085775e-01,-2.446032682e-02,1.903929182e-04,6.307944093e-01,-5.726712685e-02,9.499513236e-02,6.314250966e-01,-5.728067582e-02,8.806999460e-02,4.846000075e-01,-1.231999770e-01,2.249995433e-02,1.977458018e+00,6.999958679e-02,0,0
2.400000000e-01,7.202420480e-03,9.161935016e-03,3.081255667e-02,4.580951486e-03,1.828090275e-03,6.590985781e-01,5.814490169e+00,1.365483772e-01,4.471449559e-16,6.605630197e-18,3.765554489e-19,1.338261500e-02,-2.764588296e-01,-2.479969263e+00,-1.483681798e+00,-8.569635749e-01,-6.925437450e-01,4.638826847e-02,-5.353795835e-02,5.318677521e+00,-2.265630768e+00,-6.194552742e-01,-1.707009910e-02,1.854069143e-04,6.307691100e-01,-5.726464688e-02,9.514041468e-02,6.314251207e-01,-5.728066050e-02,8.796794968e-02,4.846000075e-01,-1.231999770e-01,2.249991708e-02,1.977458018e+00,6.999953464e-02,0,0
2.500000000e-01,7.444429625e-03,9.468591543e-03,3.053804209e-02,4.734278086e-03,1.894381464e-03,4.971291836e-01,5.815988364e+00,1.365647858e-01,3.955778153e-17,7.451869103e-18,6.345130536e-19,1.361310700e-02,-2.764424980e-01,-2.479659081e+00,-1.483470798e+00,-8.571079373e-01,-6.925238967e-01,4.630023241e-02,-2.561901614e-02,5.321473036e+00,-2.263440598e+00,-6.192693454e-01,-1.819769907e-02,1.208770926e-04,6.307474291e-01,-5.725083986e-02,9.527511307e-02,6.314251459e-01,-5.728064454e-02,8.786165611e-02,4.846000075e-01,-1.231999770e-01,2.249994315e-02,1.977458018e+00,6.999954209e-02,0,0
2.600000000e-01,7.674376768e-03,9.755526325e-03,3.192573030e-02,4.877743820e-03,1.960401762e-03,4.778261167e-01,5.819433537e+00,1.365803864e-01,4.465691740e-16,3.782296425e-18,3.388131789e-19,1.295188100e-02,-2.764272392e-01,-2.479386806e+00,-1.483270288e+00,-8.572640419e-01,-6.924983263e-01,4.621848837e-02,-1.513941690e-02,5.324588943e+00,-2.264925743e+00,-6.197530430e-01,-1.864425942e-02,1.083538167e-04,6.307268988e-01,-5.723889389e-02,9.539355523e-02,6.314251720e-01,-5.728062794e-02,8.775112555e-02,4.846000075e-01,-1.231999919e-01,2.249995805e-02,1.977458018e+00,6.999958307e-02,0,0
2.700000000e-01,7.893963211e-03,1.002932986e-02,2.874306888e-02,5.014643911e-03,2.023329643e-03,7.512866773e-01,5.784748934e+00,1.365951457e-01,2.277051717e-16,7.952458492e-18,3.498153779e-19,1.276174800e-02,-2.764292657e-01,-2.479151726e+00,-1.483080506e+00,-8.574355245e-01,-6.924841404e-01,4.613967985e-02,-3.870762732e-02,5.291779556e+00,-2.253753315e+00,-6.157761771e-01,-1.751327561e-02,2.424932696e-04,6.307055443e-01,-5.723622853e-02,9.549733585e-02,6.314251992e-01,-5.728061071e-02,8.763637011e-02,4.846000075e-01,-1.231999695e-01,2.249995433e-02,1.977458018e+00,6.999959797e-02,0,0
2.800000000e-01,8.103315242e-03,1.028816496e-02,3.412598735e-02,5.144059792e-03,2.086293713e-03,4.755083330e-01,5.823395939e+00,1.366094509e-01,2.322279054e-16,7.818293052e-19,1.355252716e-19,1.231659500e-02,-2.764414549e-01,-2.478947163e+00,-1.482896566e+00,-8.576147556e-01,-6.924658418e-01,4.605948925e-02,-2.780817245e-03,5.328023882e+00,-2.266907128e+00,-6.203696820e-01,-1.917192785e-02,1.121245725e-04,6.306839854e-01,-5.724068382e-02,9.558664557e-02,6.314252273e-01,-5.728059285e-02,8.751740239e-02,4.846000075e-01,-1.231999695e-01,2.249991521e-02,1.977458018e+00,6.999958307e-02,0,0
2.900000000e-01,8.304961186e-03,1.054078335e-02,3.558126539e-02,5.270367277e-03,2.145654569e-03,4.655667795e-01,5.826580351e+00,1.366229022e-01,3.490287775e-16,7.139751201e-18,4.412383164e-19,1.314851300e-02,-2.764641047e-01,-2.478774548e+00,-1.482723713e+00,-8.578078747e-01,-6.924479008e-01,4.597903416e-02,5.457084339e-03,5.330949221e+00,-2.268085069e+00,-6.208039118e-01,-1.954027125e-02,9.912156286e-05,6.306630608e-01,-5.725203406e-02,9.566409779e-02,6.314252565e-01,-5.728057436e-02,8.739423543e-02,4.846000075e-01,-1.231999919e-01,2.249996737e-02,1.977458018e+00,6.999959424e-02,0,0
